variant,sensing,noise_pct,seed,epochs,train_time_s,test_cv_rmse,test_nmbe,test_r2,test_mae_kW,test_n,train_cv_rmse,train_nmbe,train_r2,train_mae_kW,train_n,err_C_z,err_C_w,err_R_zw,err_R_wo,err_R_inf,rec_C_z,rec_C_w,rec_R_zw,rec_R_wo,rec_R_inf
V4_neural_forcing,S2,10,0,600,8.8,13.2369,4.0112,0.9542,6.0018,429,12.0554,-0.6455,0.9527,5.8969,1711,0.0,0.0,145.42,139.56,127.06,35000000.0,200000000.0,0.0011043946724385023,0.006707730237394571,0.0007947031408548355
V4F_fixed_Qint,S2,10,0,600,3.1,24.1909,-14.0637,0.8471,12.9429,429,22.3518,-10.2252,0.8375,13.3785,1711,0.0,0.0,153.98,112.74,32.54,35000000.0,200000000.0,0.0011429190635681152,0.00595666142180562,0.00023610061907675117
V5_wrong_constraints,S2,10,0,600,6.3,295.187,198.3367,-21.7705,135.2845,429,354.8291,268.6288,-39.9627,194.175,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711149269714952,0.009153610095381737,2.2994507162366062e-05
V1_blackbox,S3,0,0,600,5.2,10.8266,8.8983,0.9679,5.6538,429,5.7561,0.0042,0.9888,2.8442,1711,,,,,,,,,,
V2_soft_physics,S3,0,0,600,7.4,5.4305,1.6755,0.9919,2.5162,429,5.2742,0.0815,0.9906,2.5136,1711,,,,,,,,,,
V3_hard_arch,S3,0,0,600,2.9,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725586,0.004090732429176569,0.0001813270791899413
V4_neural_forcing,S3,0,0,600,6.1,7.6421,4.9466,0.984,3.8248,429,6.1359,-0.6516,0.9873,2.9828,1711,0.0,0.0,146.91,141.66,128.13,35000000.0,200000000.0,0.0011110869236290455,0.006766504142433405,0.0007984501426108181
V4F_fixed_Qint,S3,0,0,600,3.1,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088915,0.005822904407978058,0.00023408060951624066
V5_wrong_constraints,S3,0,0,600,6.0,298.0092,200.0662,-23.3576,135.5906,429,352.2139,266.6913,-40.8629,193.8113,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.001471110270358622,0.009153581224381924,2.299450534337666e-05
V1_blackbox,S3,5,0,600,5.3,12.8554,9.7421,0.9547,6.4898,429,7.8712,0.0112,0.9795,3.9696,1711,,,,,,,,,,
