timestamp,T_oa_C,I_sol_Wm2,Q_int_W,Q_cw_W,Q_cw_meas_W,T_z,T_z_meas_C,sigma_cw_W,split,T_z_obs
2023-07-01 00:00:00,24.56954,0.0,10000.037,100000.0,104098.67305556426,23.5,23.356719312000045,3605.5512754639894,train,
2023-07-01 01:00:00,23.512894,8.837979,10000.165,13253.451383211257,14132.779050495254,23.066267256916056,22.826466317618564,2039.1391752919735,train,
2023-07-01 02:00:00,23.222502,4.024513,10000.74,12155.921380600887,16681.570349181347,23.060779606903004,23.163573766661447,2032.9755980213376,train,
2023-07-01 03:00:00,22.803848,0.0,10003.316,10811.442989294306,15717.148401555583,23.05405721494647,23.401447930716138,2026.1289617296538,train,
2023-07-01 04:00:00,22.752066,4.7705226,10014.836,10722.323904578701,9770.10666565669,23.053611619522894,22.998377739887744,2025.7026946033393,train,
2023-07-01 05:00:00,23.710373,14.29776,10065.922,13553.571634962935,13895.935434479956,23.067767858174815,22.686393110201095,2040.9138574809238,train,
2023-07-01 06:00:00,25.040848,0.0,10284.556,16989.72468374862,20253.57766508393,23.084948623418743,22.760136576732698,2063.924821873757,train,
2023-07-01 07:00:00,26.14072,146.27933,11094.553,25431.40626428766,27754.463840328357,23.12715703132144,23.2455368577326,2140.579543516504,train,
2023-07-01 08:00:00,26.927479,404.1861,13000.0,38230.50122812219,41191.76585396565,23.19115250614061,23.74438743015889,2305.5181850807658,train,
2023-07-01 09:00:00,28.25572,643.2045,14905.445,52648.38165293,53474.43022734859,23.26324190826465,23.38135940805897,2548.4636316034253,train,
2023-07-01 10:00:00,30.065493,874.8429,15715.437,67680.16972240644,73186.46086811405,23.338400848612032,23.222331883416658,2850.007866004648,train,
2023-07-01 11:00:00,31.778418,1040.0522,15934.041,80317.12324196078,85752.71212276955,23.401585616209804,23.63144080626489,3131.4144180031303,train,
2023-07-01 12:00:00,32.074516,1092.3995,15984.999,85593.04140714943,88807.9563852218,23.427965207035747,23.356115616359723,3254.7737038991504,train,
2023-07-01 13:00:00,33.870525,1120.5754,15995.943,93709.86993714255,100598.99680216178,23.468549349685713,23.35506378447645,3450.128367361504,train,
2023-07-01 14:00:00,34.05908,957.17,15995.943,91638.63617813135,96228.02188492082,23.458193180890657,23.170655449182078,3399.6875851361888,train,
2023-07-01 15:00:00,34.468983,759.4471,15984.999,88042.00194878646,88195.12896896817,23.440210009743932,23.86274466301784,3313.04311720133,train,
2023-07-01 16:00:00,34.33974,499.50357,15934.041,80448.35133322224,84604.18026999009,23.40224175666611,22.64047938141741,3134.4446890972895,train,
2023-07-01 17:00:00,33.83152,243.41766,15715.437,70961.12682501215,71160.28124189573,23.35480563412506,23.59416339420884,2920.947340889238,train,
2023-07-01 18:00:00,33.16918,37.973625,14905.445,61431.044251690284,66820.10542404819,23.30715522125845,23.16803173991919,2719.631570280764,train,
2023-07-01 19:00:00,32.178894,0.0,13000.0,54882.741728891204,57753.40659860086,23.274413708644456,23.15131148920897,2590.5412186861954,train,
2023-07-01 20:00:00,30.263388,18.646471,11094.553,47728.19434825877,50273.48619837714,23.238640971741294,23.746335518576636,2459.71186974626,train,
2023-07-01 21:00:00,29.308474,27.315807,10284.556,43860.399803669025,45230.23666849072,23.219301999018345,23.00506267135833,2394.026149365107,train,
2023-07-01 22:00:00,26.942896,4.8423853,10065.922,35965.92710208881,41744.135313378814,23.179829635510444,22.97580888930192,2272.4861102065047,train,
2023-07-01 23:00:00,25.902493,0.0,10014.836,32055.20879592072,34712.27926268814,23.160276043979604,23.121157772303743,2219.1851589840503,train,
2023-07-02 00:00:00,24.906174,0.0,10000.037,28657.932411300637,30725.480412756813,23.143289662056503,23.267443877800176,2176.958745838241,train,
2023-07-02 01:00:00,23.628878,44.411087,10000.165,25962.97957421143,28207.190003714742,23.129814897871057,22.997258163183197,2146.315139380475,train,
2023-07-02 02:00:00,22.694471,6.247169,10000.74,21701.77058052687,25821.3763983407,23.108508852902634,22.63635117374187,2103.299826866545,train,
2023-07-02 03:00:00,22.418736,0.0,10003.316,20053.253429048113,23816.491006280852,23.10026626714524,22.84055681288071,2088.520930175388,train,
2023-07-02 04:00:00,22.80878,0.0,10014.836,20518.689649423293,24382.36801536198,23.102593448247116,23.486993605186473,2092.585712088376,train,
2023-07-02 05:00:00,23.679352,10.603725,10065.922,22760.60398070143,26671.078768848674,23.113803019903507,23.13623605664416,2113.3481928470023,train,
2023-07-02 06:00:00,24.140938,0.0,10284.556,23545.18550993774,31087.77010774273,23.11772592754969,23.253052112660836,2121.070056511016,train,
2023-07-02 07:00:00,25.703756,164.70377,11094.553,33291.12895942643,35382.58736395629,23.166455644797132,,2235.502033247531,train,
2023-07-02 08:00:00,27.170822,396.56473,13000.0,46805.97722398758,48554.2044408304,23.234029886119938,23.036180577267956,2443.7102024387423,train,
2023-07-02 09:00:00,29.003765,645.1782,14905.445,62537.20447332185,63305.654506224804,23.31268602236661,23.815956857329233,2742.227515908237,train,
2023-07-02 10:00:00,30.426205,871.19434,15715.437,76111.36851696117,80981.11176787865,23.380556842584806,23.324099285469483,3035.3988824818725,train,
2023-07-02 11:00:00,31.929575,1050.4716,15934.041,88210.33426341244,94955.21496143226,23.441051671317062,23.308040707458925,3317.0705093164147,train,
2023-07-02 12:00:00,32.768536,1123.9749,15984.999,95331.56383446339,97933.90032681932,23.476657819172317,23.80550052907892,3489.8848629735526,train,
2023-07-02 13:00:00,33.931732,1086.6519,15995.943,99575.78754320764,99555.45086555026,23.497878937716038,23.28117083005582,3594.969223562981,train,
2023-07-02 14:00:00,34.896572,991.41547,15995.943,101156.02847877696,101159.48579575897,23.505780142393885,23.327361939261685,3634.458403646852,train,
2023-07-02 15:00:00,35.3848,756.31726,15984.999,96621.55868770271,101912.73118614929,23.483107793438514,23.48618179864358,3521.6690706136856,train,
2023-07-02 16:00:00,34.079353,494.46048,15934.041,85515.68881042968,90933.45244302324,23.42757844405215,23.427659475278602,3252.9432410434124,train,
2023-07-02 17:00:00,34.58915,216.82083,15715.437,77619.04913303538,82286.29786430897,23.388095245665177,23.465978650036142,3069.567576953618,train,
2023-07-02 18:00:00,33.568417,45.441658,14905.445,68017.53713770893,69116.02475258328,23.340087685688545,23.96758841250719,2857.2271212578903,train,
2023-07-02 19:00:00,32.09995,0.0,13000.0,59739.51788703147,63362.987930492716,23.298697589435157,23.39957206334087,2685.503490527886,train,
2023-07-02 20:00:00,30.446123,15.254416,11094.553,52883.50108159605,56181.3814232101,23.26441750540798,22.55100131658274,2552.841205007169,train,
2023-07-02 21:00:00,28.661858,0.0,10284.556,45844.92703219496,49375.74068723946,23.229224635160975,23.327114318190443,2427.2580417270333,train,
2023-07-02 22:00:00,27.81772,0.0,10065.922,42304.01314130035,47368.153038337856,23.2115200657065,23.222884064053382,2368.6845663940526,train,
2023-07-02 23:00:00,26.57153,0.0,10014.836,38038.08935613375,41552.95211238264,23.19019044678067,23.203225454086105,2302.652083506906,train,
2023-07-03 00:00:00,25.289558,5.522711,10000.246,33862.83046135503,38385.7808544652,23.169314152306775,23.243098345125627,2243.216921781981,train,
2023-07-03 01:00:00,24.141434,0.0,10001.102,29739.554762085874,32887.551335157834,23.14869777381043,23.14009428750799,2189.976485193938,train,
2023-07-03 02:00:00,23.158943,13.999151,10004.936,26689.280927692493,30312.1360457071,23.133446404638462,23.117662776721847,2154.3179767141064,train,
2023-07-03 03:00:00,22.328218,0.0,10022.111,23267.16368344961,27604.425991349442,23.116335818417248,23.300249081348483,2118.3070635026434,train,
2023-07-03 04:00:00,23.014208,20.45763,10098.905,24991.185362375036,24878.834443923264,23.124955926811875,22.962331687653524,2135.908099903863,train,
2023-07-03 05:00:00,23.877983,14.771621,10439.478,26948.98353995754,29259.380560053916,23.134744917699788,22.850439017008036,2157.225751388392,train,
2023-07-03 06:00:00,24.05356,32.791645,11897.035,28891.18752055282,30865.901296256226,23.144455937602764,24.05159037338948,2179.731782745981,train,
2023-07-03 07:00:00,25.969595,129.8301,17297.02,41702.68371505586,43195.527343739726,23.20851341857528,22.99375618544091,2359.068130880112,train,
2023-07-03 08:00:00,27.430576,397.1598,29999.998,66307.58048758593,68531.45371103409,23.33153790243793,23.361580776175952,2820.820041602427,train,
2023-07-03 09:00:00,29.089962,618.14453,42702.97,91170.22792850307,99235.58886880074,23.455851139642515,23.007153064379906,3388.3343126795617,train,
2023-07-03 10:00:00,29.890812,871.2078,48102.91,108478.91650407675,108171.61075626676,23.542394582520384,23.57733510703581,3819.804679994595,train,
2023-07-03 11:00:00,31.546864,1034.273,49560.277,121691.85848265371,128722.50454248044,23.60845929241327,23.328491627206468,4162.693548517113,train,
2023-07-03 12:00:00,32.879612,1144.6962,49899.992,131489.05969381204,127046.20106732324,23.65744529846906,23.524703415614056,4422.718116412867,train,
2023-07-03 13:00:00,33.539776,1099.321,49972.953,134289.02807581268,135782.7827867349,23.671445140379063,23.9849645401104,4497.798211946792,train,
2023-07-03 14:00:00,35.30285,1003.3712,49972.953,137842.53785820014,141590.14878339658,23.689212689291,23.830815559804424,4593.529004901396,train,
2023-07-03 15:00:00,34.613182,765.6589,49899.992,130078.46524949968,135649.05962487657,23.6503923262475,23.820915183619945,4385.016124200544,train,
2023-07-03 16:00:00,34.73869,508.40485,49560.277,122427.30973628469,128401.69990101251,23.612136548681423,23.080775097163865,4182.057095776881,train,
2023-07-03 17:00:00,33.90427,248.90193,48102.91,110531.76868699737,116603.93296792521,23.552658843434987,24.10372739438369,3872.4081267563083,train,
2023-07-03 18:00:00,33.687576,55.205227,42702.97,97877.37412787435,99638.44359278833,23.489386870639372,23.13182247735681,3552.742930406181,train,
2023-07-03 19:00:00,32.33969,0.0,29999.998,79395.05982799275,80957.06265285556,23.396975299139964,23.855543543428123,3110.1797331635826,train,
2023-07-03 20:00:00,30.6178,0.0,17297.02,61272.09520209291,66602.70305352642,23.306360476010465,23.61282363580491,2716.402526395693,train,
2023-07-03 21:00:00,27.930141,0.0,11897.035,47407.26657618168,49937.782843142035,23.23703633288091,23.410236155416314,2454.119807956131,train,
2023-07-03 22:00:00,27.279442,0.0,10439.478,42818.10144692812,42785.816032432136,23.21409050723464,22.957595072962125,2376.9835570250552,train,
2023-07-03 23:00:00,26.08502,0.0,10098.905,38316.58365126174,38702.31221460412,23.19158291825631,23.237059871702165,2306.8039631563242,train,
2023-07-04 00:00:00,24.993183,43.76087,10000.246,35689.7056013409,36603.869862626234,23.178448528006705,23.037172104813248,2268.5633289197253,train,
2023-07-04 01:00:00,23.390924,0.0,10001.102,29255.515136724596,33341.36435477973,23.146277575683623,23.15498944713521,2184.100878925607,train,
